,Rent_Date,STA_LOC,Rent_Count,Yr_Mth,JIJACE_NM,ACC_CNT
186,2018-08-01,동작구,16836.0,2018-08-01 00:00:00,동작구,5.0
187,2018-08-01,마포구,36818.0,2018-08-01 00:00:00,마포구,7.0
188,2018-08-01,서대문구,53293.0,2018-08-01 00:00:00,서대문구,2.0
189,2018-08-01,서초구,66600.0,2018-08-01 00:00:00,서초구,4.0
190,2018-08-01,성동구,31987.0,2018-08-01 00:00:00,성동구,5.0
191,2018-08-01,성북구,45270.0,2018-08-01 00:00:00,성북구,4.0
192,2018-08-01,송파구,61006.0,2018-08-01 00:00:00,송파구,13.0
193,2018-08-01,양천구,38821.0,2018-08-01 00:00:00,양천구,2.0
194,2018-08-01,영등포구,38218.0,2018-08-01 00:00:00,영등포구,11.0
195,2018-08-01,용산구,28904.0,2018-08-01 00:00:00,용산구,2.0
196,2018-08-01,은평구,24778.0,2018-08-01 00:00:00,은평구,5.0
197,2018-08-01,종로구,56722.0,2018-08-01 00:00:00,종로구,3.0
198,2018-08-01,중구,41845.0,0,0,0.0
199,2018-08-01,중랑구,25177.0,2018-08-01 00:00:00,중랑구,5.0
200,2018-09-01,강남구,55691.0,2018-09-01 00:00:00,강남구,10.0
201,2018-09-01,강동구,53292.0,2018-09-01 00:00:00,강동구,2.0
202,2018-09-01,강북구,46081.0,2018-09-01 00:00:00,강북구,6.0
203,2018-09-01,강서구,97086.0,2018-09-01 00:00:00,강서구,4.0
204,2018-09-01,관악구,38957.0,2018-09-01 00:00:00,관악구,3.0
205,2018-09-01,광진구,50582.0,2018-09-01 00:00:00,광진구,6.0
206,2018-09-01,구로구,76856.0,2018-09-01 00:00:00,구로구,5.0
207,2018-09-01,금천구,42158.0,2018-09-01 00:00:00,금천구,1.0
208,2018-09-01,노원구,74877.0,2018-09-01 00:00:00,노원구,9.0
209,2018-09-01,도봉구,47608.0,2018-09-01 00:00:00,도봉구,6.0
210,2018-09-01,동대문구,31451.0,2018-09-01 00:00:00,동대문구,11.0
211,2018-09-01,동작구,23253.0,2018-09-01 00:00:00,동작구,8.0
212,2018-09-01,마포구,51663.0,2018-09-01 00:00:00,마포구,7.0
213,2018-09-01,서대문구,81267.0,2018-09-01 00:00:00,서대문구,3.0
214,2018-09-01,서초구,88996.0,2018-09-01 00:00:00,서초구,5.0
215,2018-09-01,성동구,45406.0,2018-09-01 00:00:00,성동구,6.0
